Program,Code,Title,Sec,Room 1,Room 2,Day 1,Day 2,Time 1,Time 2,Faculty,Initial,Credits
BSCSE,CE 4315,Optical Fiber Communication,A,501,501,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 4315,Optical Fiber Communication,B,501,501,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 4316,Optical Fiber Communication Laboratory,A,"606 (Digital Logic Design Lab)",N/A,Sat,N/A,07:11:PM - 09:40:PM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CE 4316,Optical Fiber Communication Laboratory,B,"606 (Digital Logic Design Lab)",N/A,Sun,N/A,07:11:PM - 09:40:PM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CE 4401,Wireless and Mobile Communication,A,401,401,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 4401,Wireless and Mobile Communication,B,401,401,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Md. Hasanul Kabir,MHKr,3
BSCSE,CE 4402,Wireless and Mobile Communication Laboratory,A,"703 (VLSI Lab)",N/A,Sat,N/A,08:30:AM - 11:00:AM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CE 4402,Wireless and Mobile Communication Laboratory,B,"703 (VLSI Lab)",N/A,Sun,N/A,08:30:AM - 11:00:AM, - ,Dr. Md. Hasanul Kabir,MHKr,1
BSCSE,CSE 1101,Computer Fundamentals,A,602,602,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Sanjida Hossain Ema,SHEa,3
BSCSE,CSE 1101,Computer Fundamentals,B,602,602,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Sanjida Hossain Ema,SHEa,3
BSCSE,CSE 1101,Computer Fundamentals,C,603,603,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Sanjida Hossain Ema,SHEa,3
BSCSE,CSE 1101,Computer Fundamentals,D,603,603,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Sanjida Hossain Ema,SHEa,3
BSCSE,CSE 1101,Computer Fundamentals,E,602,602,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Sanjida Hossain Ema,SHEa,3
BSCSE,CSE 1101,Computer Fundamentals,F,602,602,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Sanjida Hossain Ema,SHEa,3
